gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual	Chimp.Dispersion	Human.Dispersion
ENSG00000169508	-20.184216457986	1.62646244977138	0.118530689376793	-0.623413230357691	-20.3659935690034	0.613069008870074	0.352588769966942	-0.0174338943262775	1.97921177400551	1.1482152303216	0.0201041482172606	-0.923883287901108
ENSG00000280734	-22.0822605637715	0.628912711212645	0.340889281716379	-2.42590966830748	-22.7017150675386	0.234517172954226	1.17894003433538	-3.0648724685997	-0.0245998513770598	-0.875406926265472	-1.98370747716531	-2.94750544448818
ENSG00000125304	-17.258393202966	0.0263604738666718	8.6594634825469	5.00450571934434	-17.2731324545343	0.0651281387683574	3.46207964414711	4.89361395941507	-1.33268256290878	-0.385069894316787	-3.29179018869703	-2.4571684125395
ENSG00000125246	-18.84109079828	0.127894127873698	1.75720870222526	2.64418016091457	-19.5983991833747	0.0574018260198304	4.05682125424031	1.54304548282232	0.0429925608006037	-0.84513068739042	-1.91611506498765	-2.91722920561313
ENSG00000274605	-20.2231210731534	0.121303656092382	2.12178643598591	0.658993985909021	-19.2442642453229	0.0712137508329949	3.67383309085628	2.04361229283001	-0.638472014655132	-0.507960204345991	-2.59757964044338	-2.5800587225687
ENSG00000175198	-19.1651974077887	0.146936937689861	1.52573245542	2.16168291260623	-18.8534405136908	0.0982372216429357	2.3008062977781	2.58782618152289	0.070444104628159	-0.0912454038234825	-1.88866352116009	-2.16334392204619
ENSG00000125247	-20.4822181074219	0.0883553575468257	2.7246217434858	0.302819272252033	-20.224471580549	0.0880989275819709	2.67372647203227	0.618896519915691	-1.10821075278442	-0.716544711083131	-3.06731837857268	-2.78864322930584
ENSG00000102452	-19.740317571108	0.0531528332321823	4.39129837400775	1.4013886600766	-20.4930315334333	0.131224843027682	1.7473388127546	0.19713113845232	-1.20231256995848	-0.464085950364243	-3.16142019574674	-2.53618446858695
ENSG00000198542	-18.9128989010079	0.696865538740856	0.2963990287368	2.07881038493219	-20.0166629859612	0.581594641428982	0.366571516486618	0.522752291677904	1.71596303977228	1.27231961611501	-0.243144586015968	-0.799778902107705
ENSG00000102466	-20.8441899002259	0.158844870561841	1.43631648314449	-0.270240073933212	-21.2453444135895	0.255683541122713	0.884873648034108	-0.987145264409856	-0.740371222701676	-0.199519109012174	-2.69947884848993	-2.27161762723489
ENSG00000272143	-18.3854410117029	0.130441265055805	1.74461692126766	3.2983988470682	-19.1258606712388	0.194657201784048	1.17651824185056	2.12260273598224	0.177502054841841	0.531314045164631	-1.78160557094641	-1.54078447305808
ENSG00000134900	-18.669061267772	0.0266265933305409	8.68450942197482	2.96977982177559	-18.7065093182705	0.0285581289848591	8.141092664097	2.85195590246801	-1.47608750722229	-1.29807827968349	-3.43519513301054	-3.3701767979062
ENSG00000151287	-19.1641487716643	0.0506229870887094	4.69417692103236	2.23726813150549	-19.4254168846938	0.185011951524615	1.22958189653207	1.69771977159224	-0.994749435873462	0.386535052255978	-2.95385706166171	-1.68556346596673
ENSG00000134901	-20.0487873166357	0.185172647551965	1.25260059831862	0.86438603518959	-20.0993163235402	0.188689983990937	1.27010926496188	0.719545152214182	-0.120987132770112	0.10675407935469	-2.08009475855836	-1.96534443886802
ENSG00000134897	-18.4418623077661	0.0392787231367344	5.88017463119916	3.28693203052424	-18.4618462845963	0.041186516378035	5.60957488946746	3.19660268576451	-1.03246724006051	-0.89516246406327	-2.99157486584876	-2.96726098228598
ENSG00000134899	-19.5209863449905	0.0773482052980299	2.960658006217	1.70265592935426	-19.0486973782532	0.0732258950877147	3.13420010107866	2.32452453568055	-0.71922872388477	-0.427863352989835	-2.67833634967302	-2.49996187121255
ENSG00000250878	-19.8902644750936	0.611170442497678	0.346778114955925	0.734763419612828	-20.2173572347082	0.562362998381009	0.386394988457025	0.233055586596638	1.15874753282082	1.14078741174048	-0.80036009296743	-0.931311106482227
ENSG00000125266	-18.7198106607379	0.152169756556512	1.46209442049182	2.80336617424595	-18.5633033766422	0.161104769557984	1.38164835020498	2.96048290029354	0.252591670351878	0.455750095850699	-1.70651595543637	-1.61634842237201
ENSG00000134884	-17.1870581270626	0.360013101435724	0.595500223300075	4.85178819250299	-17.30789086177	0.135694891420442	1.63700706988072	4.79101538490148	1.28607743648725	0.347903709747288	-0.673030189301004	-1.72419480847542
ENSG00000174405	-19.4952280695925	0.124621158858457	1.81444323963794	1.7042372154302	-19.1552040898385	0.0495598388243353	4.77687639085961	2.1873491565848	-0.231028738298046	-0.844517127451037	-2.1901363640863	-2.91661564567375
ENSG00000139826	-19.4084148283897	0.0515676263191194	4.50268289311618	1.88579810531102	-19.6176672195031	0.0997083170213763	2.30856413138498	1.48539658214597	-1.07604199576458	-0.300499589211481	-3.03514962155283	-2.37259810743419
ENSG00000102524	-21.1488663213469	0.561041220504738	0.382785555335714	-1.02731347407094	-20.8209556599633	0.63358006985961	0.336448532419343	-0.68216382635741	0.348141920051391	0.925998357484388	-1.61096570573686	-1.14610016073832
ENSG00000041515	-21.5138153931375	0.550059914040466	0.388788382964024	-1.55334647128014	-20.593114297425	0.617531003769027	0.339219890721873	-0.339866020326714	0.130567679551334	1.02802524946926	-1.82853994623692	-1.04407326875345
ENSG00000185950	-18.0001025882909	0.253835771066992	0.857884685013519	3.76294582811535	-18.5130722138469	0.520523607932232	0.403553507028358	2.74501758508063	0.901290456944343	1.63531745364638	-1.05781716884391	-0.436781064576329
ENSG00000187498	-16.982185290835	0.276342177663927	0.784912032249885	5.21388656204056	-16.8082855568908	0.225851577255058	0.967706480501756	5.44276791343787	1.03146475953483	0.86468512729135	-0.927642866253417	-1.20741339093136
ENSG00000134871	-16.930958324688	0.151112973490846	1.46311870956105	5.38450013552426	-16.5904924880119	0.21164183247034	1.03484494179876	5.76796053391131	0.429650103626215	0.797686313342922	-1.52945752216204	-1.27441220487979
ENSG00000213995	-17.2338126150654	0.0701913340145426	3.20895016902162	5.00825408996325	-17.4989784116278	0.0382873910439468	6.00006441233152	4.58741061174309	-0.351715774837378	-0.923589642292673	-2.31082340062563	-2.99568816051538
ENSG00000134905	-18.8512561499095	0.0661026318795826	3.42963920700049	2.67694639294473	-18.8403869013097	0.0451872762208017	5.06174267818478	2.64742684301364	-0.620112840371815	-0.865135898031248	-2.57922046616007	-2.93723441625396
ENSG00000153487	-19.7034758686236	0.0748550589784911	3.07337475834989	1.44312673999035	-19.9715699701903	0.0838516456964673	2.7916818552006	0.986840560785152	-0.840584333157844	-0.641893665247431	-2.7996919589461	-2.71399218347014
ENSG00000255874	-26.3952874117612	1.08886082724029	0.576525173663523	-8.46336706485254	-21.6076672279851	0.274171819881227	0.847062369183399	-1.53004013762965	-1.22284529379443	-0.297897464328247	-3.18195291958268	-2.36999598255096
ENSG00000088448	-17.3044519113151	0.557727631439108	0.374551082181673	4.5188335014524	-17.6905438358206	0.160627963445882	1.37845675159298	4.22004558466286	1.71613266948241	0.511139052916698	-0.24297495630584	-1.56095946530601
ENSG00000229152	-19.4741369296531	1.06068839568062	0.189728491136816	0.945772582729623	-18.7605559798311	0.651755830082152	0.325784783482633	2.26570215553427	1.91950064220169	1.81953458283841	-0.0396069835865649	-0.252563935384299
ENSG00000102606	-18.5341529362027	0.277250039896853	0.782999222510754	2.97433930701449	-18.4891848141366	0.134333973458647	1.65503978503062	3.08768369193354	0.902805829922586	0.283798413294704	-1.05630179586566	-1.78830010492801
ENSG00000068650	-19.0911808962404	0.288107687625208	0.756971847776534	2.1597367307782	-19.1993431981914	0.392860462897964	0.54632693967744	1.85880092652922	0.771645648894056	1.21330534338963	-1.18746197689419	-0.858793174833083
ENSG00000126217	-20.8208278517987	0.64947783623248	0.321133548441076	-0.63025794703615	-20.8697508621822	0.318142807548823	0.698101510317424	-0.491847228149524	0.681641020320167	0.210713670474348	-1.27746660546808	-1.86138484774836
ENSG00000269376	-20.6943941237205	3.62387113654964	0.0586771742349574	-2.62301655157102	-21.9346921502766	1.25708570983812	0.217003896181619	-2.87074266000256	2.47657702215246	1.08611002559286	0.517469396364205	-0.985988492629855
ENSG00000185896	-17.5485165390217	0.100882976049999	2.22653779888272	4.53020588920445	-17.7091077471268	0.0635974020489254	3.56204941139275	4.26506201083915	-0.00382561843783069	-0.415112527632625	-1.96293324422608	-2.48721104585534
ENSG00000153531	-15.4203196876586	0.354293451097134	0.605533451248847	7.4049660316689	-15.4069613994709	0.222454791844311	0.983294689749317	7.46698115869979	1.23196732966169	0.790400721668469	-0.727140296126563	-1.28169779655424
ENSG00000150401	-18.3227027389916	0.230293302208715	0.958857388161986	3.31297511962385	-18.1493676395417	0.290181969187199	0.755223486194083	3.45416562110844	0.755656420120552	1.0900050792434	-1.2034512056677	-0.982093438979307
