Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000021899	ENSPTRT00000044450	CLCN5	VGNC Symbol
ENSPTRG00000021899	ENSPTRT00000107119	CLCN5	VGNC Symbol
ENSPTRG00000049001	ENSPTRT00000104533		
ENSPTRG00000023728	ENSPTRT00000047080		
ENSPTRG00000044713	ENSPTRT00000105688	TMOD2	VGNC Symbol
ENSPTRG00000044713	ENSPTRT00000103261	TMOD2	VGNC Symbol
ENSPTRG00000002910	ENSPTRT00000077884	ATP5MD	VGNC Symbol
ENSPTRG00000002910	ENSPTRT00000005540	ATP5MD	VGNC Symbol
ENSPTRG00000000397	ENSPTRT00000000785	TENT5B	VGNC Symbol
ENSPTRG00000015220	ENSPTRT00000028446	ATG3	VGNC Symbol
ENSPTRG00000015220	ENSPTRT00000108513	ATG3	VGNC Symbol
ENSPTRG00000051958	ENSPTRT00000083027		
ENSPTRG00000015907	ENSPTRT00000029700	GPR78	VGNC Symbol
ENSPTRG00000048445	ENSPTRT00000096755	ERGIC2	VGNC Symbol
ENSPTRG00000006268	ENSPTRT00000024730	RALGAPA1	VGNC Symbol
ENSPTRG00000006268	ENSPTRT00000087486	RALGAPA1	VGNC Symbol
ENSPTRG00000006268	ENSPTRT00000102553	RALGAPA1	VGNC Symbol
ENSPTRG00000006268	ENSPTRT00000110681	RALGAPA1	VGNC Symbol
ENSPTRG00000006268	ENSPTRT00000099267	RALGAPA1	VGNC Symbol
ENSPTRG00000048376	ENSPTRT00000087414		
ENSPTRG00000013089	ENSPTRT00000101231		
ENSPTRG00000013089	ENSPTRT00000024276		
ENSPTRG00000020242	ENSPTRT00000093050	PCMTD1	HGNC Symbol
ENSPTRG00000020242	ENSPTRT00000037511	PCMTD1	HGNC Symbol
ENSPTRG00000020242	ENSPTRT00000104840	PCMTD1	HGNC Symbol
ENSPTRG00000047333	ENSPTRT00000109700		
ENSPTRG00000045259	ENSPTRT00000079709	LILRA2	NCBI gene
ENSPTRG00000015832	ENSPTRT00000029548	SLBP	VGNC Symbol
ENSPTRG00000015832	ENSPTRT00000110317	SLBP	VGNC Symbol
ENSPTRG00000015832	ENSPTRT00000076665	SLBP	VGNC Symbol
ENSPTRG00000015832	ENSPTRT00000109227	SLBP	VGNC Symbol
ENSPTRG00000018400	ENSPTRT00000034015	ZNF292	VGNC Symbol
ENSPTRG00000018400	ENSPTRT00000086533	ZNF292	VGNC Symbol
ENSPTRG00000018400	ENSPTRT00000097779	ZNF292	VGNC Symbol
ENSPTRG00000017577	ENSPTRT00000032491	RAB24	VGNC Symbol
ENSPTRG00000017577	ENSPTRT00000103724	RAB24	VGNC Symbol
ENSPTRG00000006928	ENSPTRT00000012777	GCHFR	VGNC Symbol
ENSPTRG00000006928	ENSPTRT00000097987	GCHFR	VGNC Symbol
ENSPTRG00000052717	ENSPTRT00000078963	TMEM150C	VGNC Symbol
ENSPTRG00000039541	ENSPTRT00000075954	DEPDC4	VGNC Symbol
ENSPTRG00000011209	ENSPTRT00000086547	SLC8A2	VGNC Symbol
ENSPTRG00000011209	ENSPTRT00000020829	SLC8A2	VGNC Symbol
ENSPTRG00000003385	ENSPTRT00000006401	PSMA1	VGNC Symbol
ENSPTRG00000003385	ENSPTRT00000092733	PSMA1	VGNC Symbol
ENSPTRG00000006875	ENSPTRT00000012688	EMC7	VGNC Symbol
ENSPTRG00000050057	ENSPTRT00000086056		
ENSPTRG00000009112	ENSPTRT00000016787	THRA	VGNC Symbol
ENSPTRG00000009112	ENSPTRT00000085366	THRA	VGNC Symbol
ENSPTRG00000010851	ENSPTRT00000020090	HAUS5	VGNC Symbol
ENSPTRG00000010851	ENSPTRT00000102089	HAUS5	VGNC Symbol
ENSPTRG00000010851	ENSPTRT00000083000	HAUS5	VGNC Symbol
ENSPTRG00000010223	ENSPTRT00000018776	AP3D1	VGNC Symbol
ENSPTRG00000010223	ENSPTRT00000083614	AP3D1	VGNC Symbol
ENSPTRG00000010223	ENSPTRT00000094429	AP3D1	VGNC Symbol
ENSPTRG00000019404	ENSPTRT00000044676	CALCR	VGNC Symbol
ENSPTRG00000019404	ENSPTRT00000093909	CALCR	VGNC Symbol
