Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
4X0212	81.37	14972011.0	116027.0	1.57	1.49	1.94	74.67	0.01	0.48	75.0	9119.0	14509198.0	14818635.0	86680831.0	34488.0	0	0.0	106524074.0	21284	0.01	0.02	16.64	17722925.0	28230.0	2064546	0.03
4X0267	86.79	17320934.0	155231.0	1.36	1.59	1.89	74.77	0.01	0.28	75.0	11302.0	16761797.0	17124927.0	90912175.0	39502.0	0	0.0	104753269.0	20920	0.01	0.02	11.27	11803746.0	29474.0	1976926	0.04
4X0333	85.45	14531293.0	120261.0	1.38	1.62	2.05	74.7	0.01	0.34	75.0	9168.0	14021464.0	14368783.0	84475697.0	43356.0	0	0.0	98857344.0	29678	0.01	0.03	12.42	12280635.0	33081.0	2027978	0.04
4X0339	77.42	6965341.0	42255.0	1.4	1.52	1.81	74.69	0.0	0.52	75.0	3829.0	6703697.0	6889955.0	89072041.0	27254.0	0	0.0	115056191.0	22999	0.01	0.02	20.73	23852446.0	29302.0	2081451	0.02
4X0354	73.15	5025544.0	29154.0	1.57	1.85	1.8	74.67	0.01	1.01	75.0	2424.0	4812796.0	4974830.0	62234821.0	27120.0	0	0.0	85077253.0	17045	0.01	0.02	24.99	21264224.0	19136.0	1534043	0.03
4X0357	84.3	10127923.0	71984.0	1.46	1.57	1.62	74.72	0.01	0.25	75.0	5729.0	9778484.0	10024351.0	76891145.0	33827.0	0	0.0	91210996.0	27342	0.01	0.03	14.01	12782230.0	25859.0	1476452	0.04
4X0550	86.49	16477047.0	127762.0	1.44	1.52	1.69	74.72	0.01	0.25	75.0	10018.0	15978784.0	16309471.0	92172584.0	34876.0	0	0.0	106574175.0	21312	0.01	0.02	11.77	12544557.0	29796.0	1800846	0.03
4x0025	85.6	11898206.0	95366.0	1.27	1.59	2.86	74.81	0.01	0.25	75.0	7813.0	11545048.0	11779266.0	61517779.0	27662.0	0	0.0	71869316.0	14403	0.01	0.02	11.48	8249897.0	15761.0	2059575	0.04
4x0043	83.65	10742241.0	80314.0	1.26	1.54	4.06	74.79	0.0	0.33	75.0	6213.0	10378972.0	10642716.0	61060490.0	26864.0	0	0.0	72992515.0	14601	0.01	0.02	12.23	8926468.0	12998.0	2964092	0.04
4x0430	85.9	14466062.0	115180.0	1.3	1.47	1.27	74.77	0.01	0.36	75.0	9083.0	14011842.0	14321856.0	72465732.0	28140.0	0	0.0	84355913.0	16944	0.01	0.02	12.77	10769121.0	19943.0	1075976	0.03
4x0519	88.65	17342365.0	144369.0	1.28	1.69	1.6	74.8	0.01	0.19	75.0	11075.0	16792411.0	17164475.0	86726954.0	33859.0	0	0.0	97827754.0	19603	0.01	0.02	9.69	9479106.0	22446.0	1568232	0.03
4x373	84.07	6412970.0	47787.0	1.29	1.55	1.41	74.78	0.01	0.2	75.0	3860.0	6191680.0	6350606.0	38982068.0	15714.0	0	0.0	46369704.0	13908	0.01	0.03	14.46	6704324.0	10717.0	653690	0.03
4x523	85.9	18265521.0	143601.0	1.32	1.62	2.08	74.79	0.01	0.34	75.0	11128.0	17668713.0	18084982.0	91051740.0	34019.0	0	0.0	105998504.0	21200	0.01	0.02	11.97	12686720.0	25810.0	2204825	0.03
503	82.66	19681827.0	176240.0	1.45	1.53	1.21	74.8	0.0	0.38	75.0	11318.0	19074214.0	19464236.0	112158514.0	34488.0	0	0.0	135687349.0	26952	0.01	0.02	16.09	21836776.0	30033.0	1630619	0.03
522	87.68	15279299.0	127791.0	1.29	1.56	1.22	74.82	0.01	0.24	75.0	9128.0	14834266.0	15120428.0	86278045.0	25835.0	0	0.0	98397857.0	19645	0.01	0.02	11.05	10875966.0	21952.0	1198366	0.03
529	83.52	6989802.0	46188.0	1.37	1.58	2.04	74.7	0.01	0.22	75.0	3956.0	6702416.0	6916295.0	76604870.0	29455.0	0	0.0	91715073.0	18328	0.01	0.02	14.38	13193005.0	23363.0	1869415	0.03
537	74.0	4535955.0	29229.0	1.29	1.49	1.84	74.68	0.0	0.56	75.0	2728.0	4325011.0	4485702.0	90406549.0	30186.0	0	0.0	122169284.0	24425	0.01	0.02	24.11	29460989.0	18296.0	2247135	0.02
